signal_id,closed_at_utc,event_id,ticker,timeframe_minutes,side,event_end_utc,price_to_beat,close_price,entry_side_price,stake_usd,won,pnl_usd,return_pct,actual_outcome,minutes_to_close,edge_pct_at_signal,sample_size_at_signal,percentile_at_signal
17e18b36-7d0f-4837-91bb-8788e05abb8a,2026-03-11T19:45:08.561656+00:00,ethereum_up_or_down_march_11_3_40pm_3_45pm_et,ETH,5,down,2026-03-11T19:45:00+00:00,2074.21,2075.01,0.5082923137001569,5.0,0,-5.0,-100.0,up,0.6328075166666667,35.08626158773078,69,39.74439886399495
6664eedc-73c9-4bf0-bf0a-e3e55e82323d,2026-03-11T19:45:08.561656+00:00,bitcoin_up_or_down_march_11_3_40pm_3_45pm_et,BTC,5,down,2026-03-11T19:45:00+00:00,70666.43,70681.0,0.5052188854028674,5.0,0,-5.0,-100.0,up,0.5582416333333333,24.851245788071473,132,43.353090601185436
752aa818-5b8b-462c-a603-e91c1242ee79,2026-03-11T19:45:08.561656+00:00,ethereum_up_or_down_march_11_3_40pm_3_45pm_et,ETH,5,up,2026-03-11T19:45:00+00:00,2074.21,2075.01,0.5065567131582611,5.0,1,4.870563098110346,97.41126196220694,up,0.30486505,33.40229969866664,67,57.756979695431475
610aacff-f1cf-4981-9875-27304f7a5040,2026-03-11T19:50:01.301329+00:00,ethereum_up_or_down_march_11_3_45pm_3_50pm_et,ETH,5,down,2026-03-11T19:50:00+00:00,2075.0,2074.02,0.51166265060241,5.0,1,4.772063671470277,95.44127342940554,down,3.83583565,20.76355950116251,112,26.938541068351523
de9763d7-48fb-4690-837c-2e385366e05b,2026-03-11T19:50:01.301329+00:00,bitcoin_up_or_down_march_11_3_45pm_3_50pm_et,BTC,5,down,2026-03-11T19:50:00+00:00,70674.87,70653.01,0.511690152383725,5.0,1,4.771538452923786,95.43076905847572,down,3.6608545,19.56269207870067,162,25.600215807930944
46868e8b-ccd9-47d3-8dd4-322f2ace04e3,2026-03-11T19:55:01.162001+00:00,bitcoin_up_or_down_march_11_3_50pm_3_55pm_et,BTC,5,up,2026-03-11T19:55:00+00:00,70654.83,70689.36,0.5115094750068759,5.0,1,4.774989993944468,95.49979987888936,up,3.8530987333333333,23.394507044766954,163,76.57548940734782
84b3a783-2a2d-4d0f-9763-0778fdd3220f,2026-03-11T19:55:01.162001+00:00,ethereum_up_or_down_march_11_3_50pm_3_55pm_et,ETH,5,up,2026-03-11T19:55:00+00:00,2073.96,2076.98,0.5251692414511382,5.0,1,4.520740373491963,90.41480746983925,up,2.2788199000000002,40.8164091882195,43,81.19802894979982
fff297ba-ca82-4bce-b28a-74dea5177cb9,2026-03-11T20:05:21.589003+00:00,ethereum_up_or_down_march_11_4_00pm_4_05pm_et,ETH,5,down,2026-03-11T20:05:00+00:00,2076.05,2072.09,0.5381493701982133,5.0,1,4.291100718297561,85.82201436595123,down,3.755244916666667,41.63960843472413,20,0.0
79222b57-a879-48ba-918b-150b894f8c34,2026-03-11T20:10:01.369076+00:00,bitcoin_up_or_down_march_11_4_05pm_4_10pm_et,BTC,5,up,2026-03-11T20:10:00+00:00,70505.62,70488.64,0.5039656413205105,4.9524799524799485,0,-4.9524799524799485,-100.0,down,1.0587390833333332,19.933106197619278,89,60.22823330515639
65f08370-8927-448c-992d-8449c28eb8fb,2026-03-11T20:10:01.369076+00:00,ethereum_up_or_down_march_11_4_05pm_4_10pm_et,ETH,5,down,2026-03-11T20:10:00+00:00,2071.68,2070.12,0.5155429409947451,5.0,1,4.698513164301021,93.97026328602041,down,0.40483805,45.88160333642294,37,16.75531914893617
