signal_id,detected_at_utc,event_id,ticker,timeframe_minutes,side,event_end_utc,price_to_beat,current_price,side_price,yes_price,no_price,quant_prob_side,edge_pct,sample_size,percentile,stake_usd,quant_gate_min_sample,quant_gate_min_edge_pct,quant_gate_use_percentile,quant_gate_percentile_low,quant_gate_percentile_high,quant_gate_min_price_c,quant_gate_max_price_c
17e18b36-7d0f-4837-91bb-8788e05abb8a,2026-03-11T19:44:22.031549+00:00,ethereum_up_or_down_march_11_3_40pm_3_45pm_et,ETH,5,down,2026-03-11T19:45:00+00:00,2074.21,2073.35,0.5082923137001569,0.49170768629984307,0.5082923137001569,0.8591549295774648,35.08626158773078,69,39.74439886399495,5.0,80,7,False,15,85,10,90
6664eedc-73c9-4bf0-bf0a-e3e55e82323d,2026-03-11T19:44:26.505502+00:00,bitcoin_up_or_down_march_11_3_40pm_3_45pm_et,BTC,5,down,2026-03-11T19:45:00+00:00,70666.43,70647.99,0.5052188854028674,0.49478111459713253,0.5052188854028674,0.7537313432835822,24.851245788071473,132,43.353090601185436,5.0,80,7,False,15,85,10,90
752aa818-5b8b-462c-a603-e91c1242ee79,2026-03-11T19:44:41.708097+00:00,ethereum_up_or_down_march_11_3_40pm_3_45pm_et,ETH,5,up,2026-03-11T19:45:00+00:00,2074.21,2074.89,0.5065567131582611,0.5065567131582611,0.4934432868417389,0.8405797101449275,33.40229969866664,67,57.756979695431475,5.0,80,7,False,15,85,10,90
610aacff-f1cf-4981-9875-27304f7a5040,2026-03-11T19:46:09.849861+00:00,ethereum_up_or_down_march_11_3_45pm_3_50pm_et,ETH,5,down,2026-03-11T19:50:00+00:00,2075.0,2073.79,0.51166265060241,0.48833734939759,0.51166265060241,0.7192982456140351,20.76355950116251,112,26.938541068351523,5.0,80,7,False,15,85,10,90
de9763d7-48fb-4690-837c-2e385366e05b,2026-03-11T19:46:20.348730+00:00,bitcoin_up_or_down_march_11_3_45pm_3_50pm_et,BTC,5,down,2026-03-11T19:50:00+00:00,70674.87,70633.56,0.511690152383725,0.488309847616275,0.511690152383725,0.7073170731707317,19.56269207870067,162,25.600215807930944,5.0,80,7,False,15,85,10,90
46868e8b-ccd9-47d3-8dd4-322f2ace04e3,2026-03-11T19:51:08.814076+00:00,bitcoin_up_or_down_march_11_3_50pm_3_55pm_et,BTC,5,up,2026-03-11T19:55:00+00:00,70654.83,70695.49,0.5115094750068759,0.5115094750068759,0.48849052499312406,0.7454545454545455,23.394507044766954,163,76.57548940734782,5.0,80,7,False,15,85,10,90
84b3a783-2a2d-4d0f-9763-0778fdd3220f,2026-03-11T19:52:43.270806+00:00,ethereum_up_or_down_march_11_3_50pm_3_55pm_et,ETH,5,up,2026-03-11T19:55:00+00:00,2073.96,2076.57,0.5251692414511382,0.5251692414511382,0.4748307585488618,0.9333333333333332,40.8164091882195,43,81.19802894979982,5.0,80,7,False,15,85,10,90
fff297ba-ca82-4bce-b28a-74dea5177cb9,2026-03-11T20:01:14.685305+00:00,ethereum_up_or_down_march_11_4_00pm_4_05pm_et,ETH,5,down,2026-03-11T20:05:00+00:00,2076.05,2072.09,0.5381493701982133,0.4618506298017867,0.5381493701982133,0.9545454545454546,41.63960843472413,20,0.0,5.0,80,7,False,15,85,10,90
79222b57-a879-48ba-918b-150b894f8c34,2026-03-11T20:08:56.475655+00:00,bitcoin_up_or_down_march_11_4_05pm_4_10pm_et,BTC,5,up,2026-03-11T20:10:00+00:00,70505.62,70519.6,0.5039656413205105,0.5039656413205105,0.49603435867948953,0.7032967032967032,19.933106197619278,89,60.22823330515639,4.9524799524799485,80,7,False,15,85,10,90
65f08370-8927-448c-992d-8449c28eb8fb,2026-03-11T20:09:35.709717+00:00,ethereum_up_or_down_march_11_4_05pm_4_10pm_et,ETH,5,down,2026-03-11T20:10:00+00:00,2071.68,2070.07,0.5155429409947451,0.48445705900525493,0.5155429409947451,0.9743589743589745,45.88160333642294,37,16.75531914893617,5.0,80,7,False,15,85,10,90
