event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,4,-50.0,-40.0,0.3253012048192771,0.6746987951807228,164
5m,BTC,weekend,tf1,4,-40.0,-30.0,0.3967391304347826,0.6032608695652174,274
5m,BTC,weekend,tf1,4,-30.0,-20.0,0.3519021739130434,0.6480978260869565,366
5m,BTC,weekend,tf1,4,-20.0,-10.0,0.3943396226415094,0.6056603773584905,528
5m,BTC,weekend,tf1,4,-10.0,0.0,0.4312977099236641,0.5687022900763359,653
5m,BTC,weekend,tf1,4,0.0,10.0,0.5725714285714285,0.4274285714285715,873
5m,BTC,weekend,tf1,4,10.0,20.0,0.5780701754385965,0.4219298245614035,568
5m,BTC,weekend,tf1,4,20.0,30.0,0.6359102244389028,0.3640897755610972,399
5m,BTC,weekend,tf1,4,30.0,40.0,0.5979381443298969,0.4020618556701031,289
5m,BTC,weekend,tf1,4,40.0,50.0,0.6268656716417911,0.3731343283582089,199
5m,BTC,weekend,tf1,4,50.0,60.0,0.7388059701492538,0.2611940298507462,132
5m,BTC,weekend,tf1,4,60.0,70.0,0.5538461538461539,0.4461538461538461,63
5m,BTC,weekend,tf1,4,70.0,80.0,0.6610169491525424,0.3389830508474576,57
5m,BTC,weekend,tf1,4,80.0,90.0,0.6444444444444445,0.3555555555555555,43
5m,BTC,weekend,tf1,4,90.0,100.0,0.6551724137931034,0.3448275862068966,27
5m,BTC,weekend,tf1,5,-120.0,-110.0,0.2,0.8,28
5m,BTC,weekend,tf1,5,-110.0,-100.0,0.16,0.84,23
5m,BTC,weekend,tf1,5,-100.0,-90.0,0.3571428571428571,0.6428571428571428,26
5m,BTC,weekend,tf1,5,-90.0,-80.0,0.2403846153846154,0.7596153846153846,50
5m,BTC,weekend,tf1,5,-80.0,-70.0,0.2028985507246377,0.7971014492753623,67
5m,BTC,weekend,tf1,5,-70.0,-60.0,0.3666666666666666,0.6333333333333333,88
5m,BTC,weekend,tf1,5,-60.0,-50.0,0.2671755725190839,0.732824427480916,129
5m,BTC,weekend,tf1,5,-50.0,-40.0,0.3407821229050279,0.6592178770949721,177
