event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,1,-40.0,-30.0,0.3712,0.6288,23
5m,BTC,weekend,tf1,1,-30.0,-20.0,0.4792060491493384,0.5207939508506616,44
5m,BTC,weekend,tf1,1,-20.0,-10.0,0.3989839319470699,0.6010160680529302,90
5m,BTC,weekend,tf1,1,-10.0,0.0,0.4251062057476051,0.5748937942523948,243
5m,BTC,weekend,tf1,1,0.0,10.0,0.5472518261869607,0.45274817381303933,451
5m,BTC,weekend,tf1,1,10.0,20.0,0.6161122329684345,0.38388776703156546,95
5m,BTC,weekend,tf1,1,20.0,30.0,0.7495274102079396,0.25047258979206044,44
5m,BTC,weekend,tf1,1,30.0,40.0,0.6527777777777778,0.3472222222222222,22
5m,BTC,weekend,tf1,2,-40.0,-30.0,0.3819444444444444,0.6180555555555556,34
5m,BTC,weekend,tf1,2,-30.0,-20.0,0.4616,0.5384,48
5m,BTC,weekend,tf1,2,-20.0,-10.0,0.31824417009602196,0.6817558299039781,106
5m,BTC,weekend,tf1,2,-10.0,0.0,0.459644560922176,0.540355439077824,219
5m,BTC,weekend,tf1,2,0.0,10.0,0.546573928617505,0.453426071382495,361
5m,BTC,weekend,tf1,2,10.0,20.0,0.6363056647890317,0.3636943352109683,95
5m,BTC,weekend,tf1,2,20.0,30.0,0.6798648902233064,0.32013510977669357,71
5m,BTC,weekend,tf1,2,30.0,40.0,0.6574074074074073,0.34259259259259267,34
5m,BTC,weekend,tf1,3,-50.0,-40.0,0.2727272727272727,0.7272727272727273,20
5m,BTC,weekend,tf1,3,-40.0,-30.0,0.35938641344046746,0.6406135865595326,35
5m,BTC,weekend,tf1,3,-30.0,-20.0,0.36522440204246165,0.6347755979575384,59
5m,BTC,weekend,tf1,3,-20.0,-10.0,0.35326229365010037,0.6467377063498996,105
5m,BTC,weekend,tf1,3,-10.0,0.0,0.4394002498958767,0.5605997501041233,194
5m,BTC,weekend,tf1,3,0.0,10.0,0.5707805325987144,0.4292194674012856,328
5m,BTC,weekend,tf1,3,10.0,20.0,0.6603180473372781,0.33968195266272194,102
5m,BTC,weekend,tf1,3,20.0,30.0,0.6755401234567902,0.32445987654320985,70
5m,BTC,weekend,tf1,3,30.0,40.0,0.5226757369614512,0.4773242630385488,40
5m,BTC,weekend,tf1,3,40.0,50.0,0.4801512287334594,0.5198487712665406,21
5m,BTC,weekend,tf1,4,-50.0,-40.0,0.4007561436672968,0.5992438563327032,21
5m,BTC,weekend,tf1,4,-40.0,-30.0,0.4674586776859504,0.5325413223140496,42
5m,BTC,weekend,tf1,4,-30.0,-20.0,0.3252080856123662,0.6747919143876338,56
5m,BTC,weekend,tf1,4,-20.0,-10.0,0.3525,0.6475,118
5m,BTC,weekend,tf1,4,-10.0,0.0,0.4244290657439447,0.5755709342560553,168
5m,BTC,weekend,tf1,4,0.0,10.0,0.5629222180521674,0.43707778194783264,290
5m,BTC,weekend,tf1,4,10.0,20.0,0.6638888888888889,0.33611111111111114,118
5m,BTC,weekend,tf1,4,20.0,30.0,0.645,0.355,58
5m,BTC,weekend,tf1,4,30.0,40.0,0.6224529027297193,0.3775470972702807,49
5m,BTC,weekend,tf1,4,40.0,50.0,0.6543209876543209,0.3456790123456791,25
