day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
weekend,off,4,50.0,60.0,0.7264957264957265,0.2735042735042735,115,BTC
weekend,off,4,60.0,70.0,0.5517241379310345,0.4482758620689655,56,BTC
weekend,off,4,70.0,80.0,0.6666666666666666,0.3333333333333333,58,BTC
weekend,off,4,80.0,90.0,0.6428571428571429,0.3571428571428571,40,BTC
weekend,off,4,90.0,100.0,0.6153846153846154,0.3846153846153846,24,BTC
weekend,off,4,100.0,110.0,0.7391304347826086,0.2608695652173913,21,BTC
weekend,off,5,-120.0,-110.0,0.2068965517241379,0.7931034482758621,27,BTC
weekend,off,5,-110.0,-100.0,0.1538461538461538,0.8461538461538461,24,BTC
weekend,off,5,-100.0,-90.0,0.3571428571428571,0.6428571428571428,26,BTC
weekend,off,5,-90.0,-80.0,0.2142857142857142,0.7857142857142857,47,BTC
weekend,off,5,-80.0,-70.0,0.2063492063492063,0.7936507936507937,61,BTC
weekend,off,5,-70.0,-60.0,0.3815789473684211,0.618421052631579,74,BTC
weekend,off,5,-60.0,-50.0,0.2631578947368421,0.7368421052631579,112,BTC
weekend,off,5,-50.0,-40.0,0.375,0.625,166,BTC
weekend,off,5,-40.0,-30.0,0.384,0.616,248,BTC
weekend,off,5,-30.0,-20.0,0.3699421965317919,0.630057803468208,344,BTC
weekend,off,5,-20.0,-10.0,0.3533333333333333,0.6466666666666667,448,BTC
weekend,off,5,-10.0,0.0,0.4147887323943662,0.5852112676056338,708,BTC
weekend,off,5,0.0,10.0,0.54736328125,0.45263671875,1022,BTC
weekend,off,5,10.0,20.0,0.6663405088062623,0.3336594911937377,509,BTC
weekend,off,5,20.0,30.0,0.6388888888888888,0.3611111111111111,376,BTC
weekend,off,5,30.0,40.0,0.6341463414634146,0.3658536585365853,244,BTC
weekend,off,5,40.0,50.0,0.6444444444444445,0.3555555555555555,178,BTC
weekend,off,5,50.0,60.0,0.6785714285714286,0.3214285714285714,138,BTC
weekend,off,5,60.0,70.0,0.6666666666666666,0.3333333333333333,73,BTC
weekend,off,5,70.0,80.0,0.7222222222222222,0.2777777777777778,52,BTC
weekend,off,5,80.0,90.0,0.6444444444444445,0.3555555555555555,43,BTC
weekend,off,5,90.0,100.0,0.7142857142857143,0.2857142857142857,33,BTC
weekend,off,5,100.0,110.0,0.7037037037037037,0.2962962962962963,25,BTC
weekend,off,5,110.0,120.0,0.8695652173913043,0.1304347826086956,21,BTC
weekend,off,6,-120.0,-110.0,0.0909090909090909,0.9090909090909092,20,BTC
weekend,off,6,-110.0,-100.0,0.2121212121212121,0.7878787878787878,31,BTC
weekend,off,6,-100.0,-90.0,0.1621621621621621,0.8378378378378378,35,BTC
weekend,off,6,-90.0,-80.0,0.2755102040816326,0.7244897959183674,47,BTC
weekend,off,6,-80.0,-70.0,0.2142857142857142,0.7857142857142857,68,BTC
weekend,off,6,-70.0,-60.0,0.3013698630136986,0.6986301369863014,71,BTC
weekend,off,6,-60.0,-50.0,0.264,0.736,123,BTC
weekend,off,6,-50.0,-40.0,0.3571428571428571,0.6428571428571428,180,BTC
weekend,off,6,-40.0,-30.0,0.3492063492063492,0.6507936507936508,250,BTC
weekend,off,6,-30.0,-20.0,0.3573717948717949,0.6426282051282051,310,BTC
weekend,off,6,-20.0,-10.0,0.3766666666666666,0.6233333333333333,448,BTC
weekend,off,6,-10.0,0.0,0.4433962264150943,0.5566037735849056,687,BTC
weekend,off,6,0.0,10.0,0.5566426364572605,0.4433573635427394,969,BTC
weekend,off,6,10.0,20.0,0.6216475095785441,0.3783524904214559,520,BTC
weekend,off,6,20.0,30.0,0.5831024930747921,0.4168975069252079,359,BTC
weekend,off,6,30.0,40.0,0.7032967032967034,0.2967032967032966,271,BTC
weekend,off,6,40.0,50.0,0.6526946107784432,0.3473053892215568,165,BTC
weekend,off,6,50.0,60.0,0.7169811320754716,0.2830188679245283,104,BTC
weekend,off,6,60.0,70.0,0.5813953488372093,0.4186046511627906,84,BTC
weekend,off,6,70.0,80.0,0.7733333333333333,0.2266666666666666,73,BTC
weekend,off,6,80.0,90.0,0.75,0.25,50,BTC
weekend,off,6,90.0,100.0,0.7058823529411765,0.2941176470588235,49,BTC
weekend,off,6,100.0,110.0,0.7666666666666667,0.2333333333333332,28,BTC
weekend,off,7,-150.0,-140.0,0.1071428571428571,0.8928571428571429,26,BTC
weekend,off,7,-130.0,-120.0,0.2162162162162162,0.7837837837837838,35,BTC
weekend,off,7,-120.0,-110.0,0.1428571428571428,0.8571428571428572,26,BTC
weekend,off,7,-110.0,-100.0,0.1,0.9,33,BTC
weekend,off,7,-100.0,-90.0,0.2307692307692307,0.7692307692307692,37,BTC
weekend,off,7,-90.0,-80.0,0.3114754098360656,0.6885245901639344,59,BTC
weekend,off,7,-80.0,-70.0,0.2567567567567567,0.7432432432432432,72,BTC
weekend,off,7,-70.0,-60.0,0.3186813186813186,0.6813186813186813,89,BTC
weekend,off,7,-60.0,-50.0,0.3109243697478991,0.6890756302521008,117,BTC
weekend,off,7,-50.0,-40.0,0.3646408839779005,0.6353591160220995,179,BTC
weekend,off,7,-40.0,-30.0,0.3089430894308943,0.6910569105691057,244,BTC
