minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
3,-220.0,-210.0,0.1923076923076923,0.8076923076923077,24,BTC
3,-210.0,-200.0,0.2758620689655172,0.7241379310344828,27,BTC
3,-200.0,-190.0,0.2790697674418604,0.7209302325581395,41,BTC
3,-190.0,-180.0,0.2,0.8,33,BTC
3,-180.0,-170.0,0.2244897959183673,0.7755102040816326,47,BTC
3,-170.0,-160.0,0.1785714285714285,0.8214285714285714,54,BTC
3,-160.0,-150.0,0.2,0.8,53,BTC
3,-150.0,-140.0,0.2535211267605634,0.7464788732394366,69,BTC
3,-140.0,-130.0,0.2558139534883721,0.7441860465116279,84,BTC
3,-130.0,-120.0,0.3033707865168539,0.696629213483146,87,BTC
3,-120.0,-110.0,0.2429906542056074,0.7570093457943925,105,BTC
3,-110.0,-100.0,0.2276422764227642,0.7723577235772358,121,BTC
3,-100.0,-90.0,0.2758620689655172,0.7241379310344828,143,BTC
3,-90.0,-80.0,0.2413793103448276,0.7586206896551724,201,BTC
3,-80.0,-70.0,0.2760416666666667,0.7239583333333333,190,BTC
3,-70.0,-60.0,0.2966101694915254,0.7033898305084746,234,BTC
3,-60.0,-50.0,0.2733118971061093,0.7266881028938907,309,BTC
3,-50.0,-40.0,0.3539823008849557,0.6460176991150443,337,BTC
3,-40.0,-30.0,0.4055415617128463,0.5944584382871536,395,BTC
3,-30.0,-20.0,0.392156862745098,0.607843137254902,457,BTC
3,-20.0,-10.0,0.4214015151515151,0.5785984848484849,526,BTC
3,-10.0,0.0,0.468978102189781,0.531021897810219,546,BTC
3,0.0,10.0,0.5258899676375405,0.4741100323624595,616,BTC
3,10.0,20.0,0.5771484375,0.4228515625,510,BTC
3,20.0,30.0,0.5925110132158591,0.4074889867841409,452,BTC
3,30.0,40.0,0.6401985111662531,0.3598014888337468,401,BTC
3,40.0,50.0,0.6597014925373135,0.3402985074626865,333,BTC
3,50.0,60.0,0.6932515337423313,0.3067484662576687,324,BTC
3,60.0,70.0,0.7198443579766537,0.2801556420233463,255,BTC
3,70.0,80.0,0.729064039408867,0.270935960591133,201,BTC
3,80.0,90.0,0.7621951219512195,0.2378048780487804,162,BTC
3,90.0,100.0,0.706766917293233,0.2932330827067669,131,BTC
3,100.0,110.0,0.7364341085271318,0.2635658914728682,127,BTC
3,110.0,120.0,0.7619047619047619,0.2380952380952381,103,BTC
3,120.0,130.0,0.7959183673469388,0.2040816326530612,96,BTC
3,130.0,140.0,0.7333333333333333,0.2666666666666667,88,BTC
3,140.0,150.0,0.7931034482758621,0.2068965517241379,56,BTC
3,150.0,160.0,0.7454545454545455,0.2545454545454545,53,BTC
3,160.0,170.0,0.7317073170731707,0.2682926829268293,39,BTC
3,170.0,180.0,0.8536585365853658,0.1463414634146341,39,BTC
3,180.0,190.0,0.7777777777777778,0.2222222222222222,43,BTC
3,190.0,200.0,0.6944444444444444,0.3055555555555556,34,BTC
3,210.0,220.0,0.8108108108108109,0.1891891891891891,35,BTC
3,230.0,240.0,0.8181818181818182,0.1818181818181817,20,BTC
3,240.0,250.0,0.7916666666666666,0.2083333333333333,22,BTC
4,-280.0,-270.0,0.1470588235294117,0.8529411764705882,32,BTC
